date,lon,lat,id,,,
1/17/2012,178.1283721,-12.91773697,561100300,,,
1/18/2012,178.7725077,-12.49594802,561100300,,,
1/19/2012,178.8619211,-12.29155149,561100300,,,
1/20/2012,178.6948071,-12.12560942,561100300,,,
1/21/2012,178.4879553,-11.96067225,561100300,,,
1/22/2012,178.5208467,-11.8389302,561100300,,,
1/23/2012,178.9128736,-11.79040856,561100300,,,
1/24/2012,179.4542202,-11.70158607,561100300,,,
1/25/2012,180.0802201,-11.52847932,561100300,,,
1/26/2012,180.698838,-11.29588894,561100300,,,
1/27/2012,181.2422521,-11.04216289,561100300,,,
1/28/2012,181.6791388,-10.72901912,561100300,,,
1/29/2012,182.0622637,-10.27995697,561100300,,,
1/30/2012,182.4830804,-9.675514768,561100300,,,
1/31/2012,182.8757153,-9.111705891,561100300,,,
2/1/2012,183.2299372,-8.544158017,561100300,,,
2/2/2012,183.4246037,-7.973452509,561100300,,,
2/3/2012,183.4590627,-7.518217583,561100300,,,
